기온(°C),계산된적설량(cm),day,time,day_time
-1.3503885893980228,0.019710242587601078,-7,0,-7일_0시
-1.6555929919137466,0.00809748427672956,-7,1,-7일_1시
-1.9505840071877805,0.00110062893081761,-7,2,-7일_2시
-2.226060197663972,0.0,-7,3,-7일_3시
-2.4778032345013488,0.0,-7,4,-7일_4시
-2.7442744833782573,0.0,-7,5,-7일_5시
-2.955309973045822,0.0,-7,6,-7일_6시
-3.1500224618149146,0.0,-7,7,-7일_7시
-3.061486972147348,0.0,-7,8,-7일_8시
-2.120433513027853,0.0,-7,9,-7일_9시
-0.7868126684636121,0.0,-7,10,-7일_10시
0.37381176999101545,0.0,-7,11,-7일_11시
1.353854447439353,0.0006289308176100629,-7,12,-7일_12시
2.142708894878706,0.005379604672057502,-7,13,-7일_13시
2.624081311769991,0.006850853548966756,-7,14,-7일_14시
2.7485265049415992,0.008838724168912848,-7,15,-7일_15시
2.531293800539084,0.015150494159928123,-7,16,-7일_16시
1.8376841868823006,0.005705300988319856,-7,17,-7일_17시
1.0642969451931716,0.006143306379155436,-7,18,-7일_18시
0.47244609164420515,0.01201707097933513,-7,19,-7일_19시
-0.03743036837376433,0.01275831087151842,-7,20,-7일_20시
-0.5332345013477092,0.005323450134770889,-7,21,-7일_21시
-0.9701325247079966,0.00449236298292902,-7,22,-7일_22시
-1.341309523809524,0.001572327044025157,-7,23,-7일_23시
-1.6832637017070982,0.0002695417789757412,-6,0,-6일_0시
-1.9518441150044923,0.034153189577717874,-6,1,-6일_1시
-2.2469699011680144,0.022405660377358496,-6,2,-6일_2시
-2.4842273135669366,0.004919137466307278,-6,3,-6일_3시
-2.805300988319856,0.0,-6,4,-6일_4시
-3.0881513926325237,0.0,-6,5,-6일_5시
-3.3246832884097035,0.0,-6,6,-6일_6시
-3.553591644204852,0.0,-6,7,-6일_7시
-3.5960714285714275,0.0,-6,8,-6일_8시
-2.66432614555256,0.0,-6,9,-6일_9시
-1.3614285714285714,0.0,-6,10,-6일_10시
-0.1838903863432167,0.0005390835579514824,-6,11,-6일_11시
0.7791015274034141,0.0008647798742138364,-6,12,-6일_12시
1.5628706199460918,0.0,-6,13,-6일_13시
2.046866576819407,0.009141958670260558,-6,14,-6일_14시
2.254083557951482,0.04022911051212938,-6,15,-6일_15시
2.088564690026954,0.11298292902066487,-6,16,-6일_16시
1.4344429469901172,0.14559748427672956,-6,17,-6일_17시
0.7082053009883198,0.1006513926325247,-6,18,-6일_18시
0.20439577717879626,0.03221024258760107,-6,19,-6일_19시
-0.23272237196765488,0.0016397124887690925,-6,20,-6일_20시
-0.6029380053908359,0.0,-6,21,-6일_21시
-0.9724752920035941,0.0,-6,22,-6일_22시
-1.354038634321653,0.0,-6,23,-6일_23시
-1.739344115004492,0.0002695417789757412,-5,0,-5일_0시
-2.078301886792452,0.034153189577717874,-5,1,-5일_1시
-2.3767632524707993,0.022405660377358496,-5,2,-5일_2시
-2.5999213836477995,0.004919137466307278,-5,3,-5일_3시
-2.9210916442048513,0.0,-5,4,-5일_4시
-3.2445462713387236,0.0005390835579514824,-5,5,-5일_5시
-3.474847259658581,0.016397124887690923,-5,6,-5일_6시
-3.7396495956873324,0.03547843665768194,-5,7,-5일_7시
-3.7149213836477983,0.04793351302785265,-5,8,-5일_8시
-2.8077201257861635,0.05728885893980233,-5,9,-5일_9시
-1.5349393530997304,0.05923180592991913,-5,10,-5일_10시
-0.33891509433962286,0.04348607367475291,-5,11,-5일_11시
0.7191638589398023,0.013185085354896677,-5,12,-5일_12시
1.5208973495058402,0.007384321653189578,-5,13,-5일_13시
2.1341043351302793,0.004520440251572327,-5,14,-5일_14시
2.38589734950584,0.005425651392632525,-5,15,-5일_15시
2.246531334231806,0.005285265049415992,-5,16,-5일_16시
1.573683176100629,0.0016004043126684638,-5,17,-5일_17시
0.7123584905660378,0.0003369272237196765,-5,18,-5일_18시
0.04992026055705325,0.0012129380053908356,-5,19,-5일_19시
-0.5102785265049417,0.004189128481581311,-5,20,-5일_20시
-0.959033018867925,0.0022349505840071875,-5,21,-5일_21시
-1.3868486073674748,0.0002358490566037736,-5,22,-5일_22시
-1.7946535265049413,0.0,-5,23,-5일_23시
-2.1664600179694524,0.0,-4,0,-4일_0시
-2.4618778077268644,0.0,-4,1,-4일_1시
-2.7607103548966756,0.0,-4,2,-4일_2시
-2.9801403863432165,0.0,-4,3,-4일_3시
-3.2564426100628934,0.0,-4,4,-4일_4시
-3.50903414195867,0.0,-4,5,-4일_5시
-3.6959782120395324,0.0,-4,6,-4일_6시
-3.845952942497754,0.0,-4,7,-4일_7시
-3.741256176999101,0.0,-4,8,-4일_8시
-2.6685461590296495,0.0,-4,9,-4일_9시
-1.1574084681042227,0.0046383647798742145,-4,10,-4일_10시
0.13154761904761902,0.005705300988319856,-4,11,-4일_11시
1.2337876235399818,0.0023584905660377358,-4,12,-4일_12시
2.093723045822103,0.0,-4,13,-4일_13시
2.734417677448339,0.0,-4,14,-4일_14시
2.981172506738545,0.0,-4,15,-4일_15시
2.826060197663971,0.0,-4,16,-4일_16시
2.158384995507638,0.0,-4,17,-4일_17시
1.3070440251572328,0.009254267744833782,-4,18,-4일_18시
0.6625943396226417,0.02094564240790656,-4,19,-4일_19시
0.194144204851752,0.0062668463611859826,-4,20,-4일_20시
-0.16347933513027835,0.0032120395327942496,-4,21,-4일_21시
-0.5001392632524707,0.0041778975741239895,-4,22,-4일_22시
-0.7876415094339625,0.0002358490566037736,-4,23,-4일_23시
-1.1017497753818508,0.0002358490566037736,-3,0,-3일_0시
-1.395377358490566,0.0004716981132075472,-3,1,-3일_1시
-1.6360062893081766,0.0,-3,2,-3일_2시
-1.8571743036837371,0.0,-3,3,-3일_3시
-2.0973427672955975,0.0,-3,4,-3일_4시
-2.3518530997304574,0.0,-3,5,-3일_5시
-2.58022911051213,0.0,-3,6,-3일_6시
-2.7191689128481573,0.0,-3,7,-3일_7시
-2.6815925426774494,0.0,-3,8,-3일_8시
-1.7043261455525605,0.0,-3,9,-3일_9시
-0.28124213836477996,0.0046383647798742145,-3,10,-3일_10시
0.9581513926325244,0.005705300988319856,-3,11,-3일_11시
2.048048068283918,0.0023584905660377358,-3,12,-3일_12시
2.8661725067385446,0.0,-3,13,-3일_13시
3.4320013477088964,0.0,-3,14,-3일_14시
3.627129380053907,0.0,-3,15,-3일_15시
3.504377807726865,0.0,-3,16,-3일_16시
2.8353324348607374,0.0,-3,17,-3일_17시
2.060950134770889,0.0,-3,18,-3일_18시
1.4271428571428568,0.0,-3,19,-3일_19시
0.9086994609164422,0.0002695417789757412,-3,20,-3일_20시
0.514391284815813,0.0022686433063791554,-3,21,-3일_21시
0.12093216531895769,0.01421832884097035,-3,22,-3일_22시
-0.23198337825696327,0.008063791554357592,-3,23,-3일_23시
-0.5475067385444746,0.0002358490566037736,-2,0,-2일_0시
-0.8479851752021561,0.0004716981132075472,-2,1,-2일_1시
-1.1320238095238098,0.0,-2,2,-2일_2시
-1.4118463611859837,0.0,-2,3,-2일_3시
-1.7340858041329736,0.010860287511230906,-2,4,-2일_4시
-2.0765723270440257,0.017991913746630728,-2,5,-2일_5시
-2.3579829290206655,0.009669811320754717,-2,6,-2일_6시
-2.568486073674753,0.007053009883198562,-2,7,-2일_7시
