기온(°C),계산된적설량(cm),day,time,day_time
-1.0200471698113207,0.010950134770889486,-7,0,-7일_0시
-1.3099056603773587,0.003537735849056604,-7,1,-7일_1시
-1.6278301886792446,0.0023584905660377358,-7,2,-7일_2시
-1.9268867924528308,0.0,-7,3,-7일_3시
-2.2150943396226417,0.0,-7,4,-7일_4시
-2.4841981132075475,0.0,-7,5,-7일_5시
-2.7165094339622646,0.0,-7,6,-7일_6시
-2.9396226415094335,0.0,-7,7,-7일_7시
-2.9061320754716986,0.0,-7,8,-7일_8시
-1.893632075471698,0.0,-7,9,-7일_9시
-0.6569070080862535,0.0,-7,10,-7일_10시
0.5474056603773585,0.0,-7,11,-7일_11시
1.637735849056603,0.0,-7,12,-7일_12시
2.469811320754717,0.0011792452830188679,-7,13,-7일_13시
3.0040094339622643,0.009433962264150943,-7,14,-7일_14시
3.156603773584906,0.008254716981132075,-7,15,-7일_15시
2.9471698113207534,0.012971698113207548,-7,16,-7일_16시
2.307783018867924,0.007075471698113208,-7,17,-7일_17시
1.5497641509433964,0.00589622641509434,-7,18,-7일_18시
0.9700471698113212,0.009433962264150943,-7,19,-7일_19시
0.4165094339622641,0.01179245283018868,-7,20,-7일_20시
-0.10141509433962267,0.0047169811320754715,-7,21,-7일_21시
-0.5535377358490565,0.0047169811320754715,-7,22,-7일_22시
-0.9478773584905661,0.0023584905660377358,-7,23,-7일_23시
-1.3393867924528302,0.0,-6,0,-6일_0시
-1.6110849056603773,0.041273584905660375,-6,1,-6일_1시
-1.9134433962264148,0.01061320754716981,-6,2,-6일_2시
-2.1943396226415093,0.0047169811320754715,-6,3,-6일_3시
-2.512264150943397,0.0,-6,4,-6일_4시
-2.8124999999999996,0.0,-6,5,-6일_5시
-3.090801886792453,0.0,-6,6,-6일_6시
-3.358254716981132,0.0,-6,7,-6일_7시
-3.4139150943396226,0.0,-6,8,-6일_8시
-2.3721698113207537,0.0,-6,9,-6일_9시
-1.1963611859838277,0.0,-6,10,-6일_10시
0.044407008086253384,0.0,-6,11,-6일_11시
1.0314016172506737,0.0011792452830188679,-6,12,-6일_12시
1.8500000000000003,0.0,-6,13,-6일_13시
2.3695754716981132,0.004043126684636118,-6,14,-6일_14시
2.6035040431266845,0.043126684636118594,-6,15,-6일_15시
2.4828504043126682,0.1293800539083558,-6,16,-6일_16시
1.8803234501347703,0.12264150943396226,-6,17,-6일_17시
1.1610175202156339,0.07951482479784366,-6,18,-6일_18시
0.6520552560646901,0.024258760107816715,-6,19,-6일_19시
0.22115902964959566,0.002695417789757412,-6,20,-6일_20시
-0.14447439353099725,0.0,-6,21,-6일_21시
-0.5038409703504045,0.0,-6,22,-6일_22시
-0.9160377358490562,0.0,-6,23,-6일_23시
-1.3552560646900271,0.0,-5,0,-5일_0시
-1.7287061994609165,0.041273584905660375,-5,1,-5일_1시
-2.0406671159029646,0.01061320754716981,-5,2,-5일_2시
-2.2453167115902968,0.0047169811320754715,-5,3,-5일_3시
-2.5779649595687344,0.0,-5,4,-5일_4시
-2.900943396226415,0.0,-5,5,-5일_5시
-3.183827493261455,0.007075471698113208,-5,6,-5일_6시
-3.491037735849056,0.027122641509433963,-5,7,-5일_7시
-3.507783018867925,0.04481132075471698,-5,8,-5일_8시
-2.5187668463611863,0.04834905660377359,-5,9,-5일_9시
-1.4197102425876014,0.04481132075471698,-5,10,-5일_10시
-0.2006401617250674,0.03537735849056604,-5,11,-5일_11시
0.9176549865229112,0.01650943396226415,-5,12,-5일_12시
1.8074797843665773,0.006738544474393531,-5,13,-5일_13시
2.458760107816711,0.009433962264150943,-5,14,-5일_14시
2.7554245283018863,0.009973045822102426,-5,15,-5일_15시
2.6211590296495957,0.00862533692722372,-5,16,-5일_16시
2.0265835579514824,0.004043126684636118,-5,17,-5일_17시
1.23372641509434,0.001347708894878706,-5,18,-5일_18시
0.5660377358490566,0.002695417789757412,-5,19,-5일_19시
0.018396226415094204,0.003537735849056604,-5,20,-5일_20시
-0.48655660377358484,0.0011792452830188679,-5,21,-5일_21시
-0.926179245283019,0.0011792452830188679,-5,22,-5일_22시
-1.3768867924528299,0.0,-5,23,-5일_23시
-1.819103773584905,0.0,-4,0,-4일_0시
-2.144811320754716,0.0,-4,1,-4일_1시
-2.5089622641509433,0.0,-4,2,-4일_2시
-2.7441037735849068,0.0,-4,3,-4일_3시
-3.053301886792453,0.0,-4,4,-4일_4시
-3.3110849056603766,0.0,-4,5,-4일_5시
-3.5301886792452826,0.0,-4,6,-4일_6시
-3.766273584905661,0.0,-4,7,-4일_7시
-3.659669811320754,0.0,-4,8,-4일_8시
-2.484198113207547,0.0,-4,9,-4일_9시
-1.1668126684636122,0.003537735849056604,-4,10,-4일_10시
0.1439690026954176,0.0047169811320754715,-4,11,-4일_11시
1.3182951482479783,0.0,-4,12,-4일_12시
2.2813005390835586,0.0,-4,13,-4일_13시
3.021024258760109,0.0,-4,14,-4일_14시
3.3188679245283024,0.0,-4,15,-4일_15시
3.2004043126684625,0.0,-4,16,-4일_16시
2.6162061994609154,0.0,-4,17,-4일_17시
1.822641509433962,0.018867924528301886,-4,18,-4일_18시
1.1747641509433964,0.02240566037735849,-4,19,-4일_19시
0.6601415094339623,0.009433962264150943,-4,20,-4일_20시
0.23891509433962274,0.0023584905660377358,-4,21,-4일_21시
-0.12877358490566063,0.0023584905660377358,-4,22,-4일_22시
-0.4995283018867925,0.0011792452830188679,-4,23,-4일_23시
-0.8530660377358493,0.0011792452830188679,-3,0,-3일_0시
-1.17311320754717,0.0,-3,1,-3일_1시
-1.435377358490566,0.0,-3,2,-3일_2시
-1.7070754716981138,0.0,-3,3,-3일_3시
-1.9692610062893074,0.0,-3,4,-3일_4시
-2.1978773584905666,0.0,-3,5,-3일_5시
-2.4773584905660377,0.0,-3,6,-3일_6시
-2.6811320754716985,0.0,-3,7,-3일_7시
-2.63938679245283,0.0,-3,8,-3일_8시
-1.5499999999999998,0.0,-3,9,-3일_9시
-0.2672843665768195,0.003537735849056604,-3,10,-3일_10시
0.988376010781671,0.0047169811320754715,-3,11,-3일_11시
2.1315026954177902,0.0,-3,12,-3일_12시
3.0381401617250674,0.0,-3,13,-3일_13시
3.678335579514825,0.0,-3,14,-3일_14시
3.9066037735849055,0.0,-3,15,-3일_15시
3.8218665768194064,0.0,-3,16,-3일_16시
3.2282345013477087,0.0,-3,17,-3일_17시
2.495518867924529,0.0,-3,18,-3일_18시
1.8882075471698114,0.0,-3,19,-3일_19시
1.321933962264151,0.0,-3,20,-3일_20시
0.8931603773584904,0.0023584905660377358,-3,21,-3일_21시
0.49410377358490587,0.01179245283018868,-3,22,-3일_22시
0.11297169811320742,0.009433962264150943,-3,23,-3일_23시
-0.234433962264151,0.0011792452830188679,-2,0,-2일_0시
-0.5488207547169809,0.0,-2,1,-2일_1시
-0.83938679245283,0.0,-2,2,-2일_2시
-1.1047169811320754,0.0,-2,3,-2일_3시
-1.4129716981132077,0.008254716981132075,-2,4,-2일_4시
-1.7556603773584913,0.01650943396226415,-2,5,-2일_5시
-2.0891509433962256,0.01061320754716981,-2,6,-2일_6시
-2.3410377358490573,0.0023584905660377358,-2,7,-2일_7시
-2.4143867924528313,0.0023584905660377358,-2,8,-2일_8시
-1.5443396226415087,0.003537735849056604,-2,9,-2일_9시
-0.4734164420485178,0.007075471698113208,-2,10,-2일_10시
0.6358153638814016,0.0,-2,11,-2일_11시
1.5790094339622642,0.0047169811320754715,-2,12,-2일_12시
2.2457547169811325,0.0011792452830188679,-2,13,-2일_13시
2.8011792452830195,0.0,-2,14,-2일_14시
2.9877358490566035,0.0,-2,15,-2일_15시
2.7896226415094327,0.0,-2,16,-2일_16시
2.1129716981132076,0.0,-2,17,-2일_17시
1.3139150943396225,0.0,-2,18,-2일_18시
0.7202830188679245,0.0,-2,19,-2일_19시
0.15801886792452838,0.003537735849056604,-2,20,-2일_20시
-0.3297506738544474,0.0011792452830188679,-2,21,-2일_21시
-0.8044811320754717,0.0011792452830188679,-2,22,-2일_22시
-1.2506064690026955,0.0,-2,23,-2일_23시
-1.6424528301886792,0.008254716981132075,-1,0,-1일_0시
-1.9404312668463608,0.0011792452830188679,-1,1,-1일_1시
-2.274696765498652,0.0011792452830188679,-1,2,-1일_2시
-2.545586253369273,0.0,-1,3,-1일_3시
-2.8749326145552567,0.008254716981132075,-1,4,-1일_4시
-3.151280323450134,0.01650943396226415,-1,5,-1일_5시
-3.410613207547169,0.01061320754716981,-1,6,-1일_6시
-3.5728773584905658,0.0023584905660377358,-1,7,-1일_7시
-3.5198113207547177,0.0011792452830188679,-1,8,-1일_8시
-2.493867924528302,0.0,-1,9,-1일_9시
-1.3595013477088946,0.0,-1,10,-1일_10시
-0.16327493261455495,0.0,-1,11,-1일_11시
0.8333894878706198,0.0011792452830188679,-1,12,-1일_12시
1.6067722371967659,0.0011792452830188679,-1,13,-1일_13시
2.1141846361185985,0.03537735849056604,-1,14,-1일_14시
2.2577830188679244,0.045990566037735846,-1,15,-1일_15시
2.0393194070080867,0.07547169811320754,-1,16,-1일_16시
1.4848382749326143,0.06856469002695417,-1,17,-1일_17시
0.7617924528301887,0.06317385444743935,-1,18,-1일_18시
0.2275943396226415,0.06839622641509434,-1,19,-1일_19시
-0.2182614555256064,0.0625,-1,20,-1일_20시
-0.5670485175202156,0.04363207547169811,-1,21,-1일_21시
-0.8175876010781673,0.02830188679245283,-1,22,-1일_22시
-1.1274595687331532,0.025943396226415096,-1,23,-1일_23시
-1.375202156334232,0.023921832884097032,0,0,0일_0시
-1.5866239892183285,0.05306603773584906,0,1,0일_1시
-1.7695754716981125,0.015330188679245283,0,2,0일_2시
-1.9307277628032355,0.007075471698113208,0,3,0일_3시
-2.16866576819407,0.008254716981132075,0,4,0일_4시
-2.371091644204851,0.02240566037735849,0,5,0일_5시
-2.56421832884097,0.0294811320754717,0,6,0일_6시
-2.727055256064691,0.030660377358490566,0,7,0일_7시
-2.6256401617250673,0.04716981132075472,0,8,0일_8시
-1.9231805929919144,0.05188679245283019,0,9,0일_9시
-1.1284366576819407,0.055424528301886794,0,10,0일_10시
-0.2254380053908355,0.04481132075471698,0,11,0일_11시
0.5744272237196766,0.027122641509433963,0,12,0일_12시
1.2857142857142863,0.026785714285714288,0,13,0일_13시
1.6888140161725067,0.06300539083557952,0,14,0일_14시
1.8576482479784366,0.1132412398921833,0,15,0일_15시
