기온(°C),계산된적설량(cm),day,time,day_time
-2.2474842767295593,0.02830188679245283,-7,0,-7일_0시
-2.567924528301887,0.0,-7,1,-7일_1시
-2.8808176100628944,0.003144654088050314,-7,2,-7일_2시
-3.181761006289308,0.0,-7,3,-7일_3시
-3.416981132075472,0.0,-7,4,-7일_4시
-3.6883647798742123,0.0,-7,5,-7일_5시
-3.9216981132075475,0.0,-7,6,-7일_6시
-4.075157232704403,0.0,-7,7,-7일_7시
-3.888993710691824,0.0,-7,8,-7일_8시
-2.7446540880503143,0.0,-7,9,-7일_9시
-0.7710691823899372,0.0,-7,10,-7일_10시
0.5034591194968554,0.0,-7,11,-7일_11시
1.445911949685534,0.0,-7,12,-7일_12시
2.2402515723270437,0.006289308176100628,-7,13,-7일_13시
2.6842767295597483,0.009433962264150943,-7,14,-7일_14시
2.6635220125786163,0.009433962264150943,-7,15,-7일_15시
2.358490566037735,0.015723270440251572,-7,16,-7일_16시
1.4650943396226412,0.003144654088050314,-7,17,-7일_17시
0.37044025157232724,0.006289308176100628,-7,18,-7일_18시
-0.43867924528301916,0.009433962264150943,-7,19,-7일_19시
-1.0336477987421384,0.012578616352201257,-7,20,-7일_20시
-1.5616352201257857,0.006289308176100628,-7,21,-7일_21시
-1.99811320754717,0.003144654088050314,-7,22,-7일_22시
-2.3298742138364776,0.0,-7,23,-7일_23시
-2.697798742138365,0.0,-6,0,-6일_0시
-2.885534591194969,0.03773584905660377,-6,1,-6일_1시
-3.2144654088050317,0.022012578616352203,-6,2,-6일_2시
-3.427672955974843,0.0,-6,3,-6일_3시
-3.7132075471698123,0.0,-6,4,-6일_4시
-4.022012578616352,0.0,-6,5,-6일_5시
-4.229559748427674,0.0,-6,6,-6일_6시
-4.482075471698114,0.0,-6,7,-6일_7시
-4.470440251572327,0.0,-6,8,-6일_8시
-3.261320754716981,0.0,-6,9,-6일_9시
-1.3455974842767298,0.0,-6,10,-6일_10시
-0.03742138364779878,0.0,-6,11,-6일_11시
0.9871069182389937,0.003144654088050314,-6,12,-6일_12시
1.738050314465409,0.0,-6,13,-6일_13시
2.1037735849056602,0.015723270440251572,-6,14,-6일_14시
2.1937106918238998,0.05345911949685534,-6,15,-6일_15시
1.9182389937106916,0.07547169811320754,-6,16,-6일_16시
1.0261006289308174,0.08962264150943396,-6,17,-6일_17시
-0.004402515723270202,0.04716981132075472,-6,18,-6일_18시
-0.6801886792452829,0.02830188679245283,-6,19,-6일_19시
-1.1676100628930823,0.0,-6,20,-6일_20시
-1.5930817610062897,0.0,-6,21,-6일_21시
-2.0383647798742137,0.0,-6,22,-6일_22시
-2.3842767295597485,0.0,-6,23,-6일_23시
-2.7443396226415095,0.0,-5,0,-5일_0시
-3.0666666666666673,0.03773584905660377,-5,1,-5일_1시
-3.3566037735849057,0.022012578616352203,-5,2,-5일_2시
-3.5889937106918244,0.0,-5,3,-5일_3시
-3.8933962264150943,0.0,-5,4,-5일_4시
-4.268553459119499,0.0,-5,5,-5일_5시
-4.450000000000001,0.015723270440251572,-5,6,-5일_6시
-4.7018867924528305,0.04402515723270441,-5,7,-5일_7시
-4.610377358490567,0.05031446540880503,-5,8,-5일_8시
-3.3952830188679255,0.09433962264150944,-5,9,-5일_9시
-1.4839622641509438,0.07232704402515723,-5,10,-5일_10시
-0.1298742138364779,0.04716981132075472,-5,11,-5일_11시
0.9154088050314465,0.015723270440251572,-5,12,-5일_12시
1.615723270440251,0.0,-5,13,-5일_13시
2.1371069182389935,0.0,-5,14,-5일_14시
2.341509433962264,0.003144654088050314,-5,15,-5일_15시
2.055345911949686,0.0,-5,16,-5일_16시
1.1452830188679242,0.0,-5,17,-5일_17시
-0.04056603773584874,0.0,-5,18,-5일_18시
-0.9553459119496857,0.0,-5,19,-5일_19시
-1.680817610062893,0.0,-5,20,-5일_20시
-2.1393081761006285,0.003144654088050314,-5,21,-5일_21시
-2.6229559748427693,0.0,-5,22,-5일_22시
-2.986163522012579,0.0,-5,23,-5일_23시
-3.3298742138364776,0.0,-4,0,-4일_0시
-3.5628930817610063,0.0,-4,1,-4일_1시
-3.8122641509433954,0.0,-4,2,-4일_2시
-3.9915094339622628,0.0,-4,3,-4일_3시
-4.2333333333333325,0.0,-4,4,-4일_4시
-4.49056603773585,0.0,-4,5,-4일_5시
-4.629874213836479,0.0,-4,6,-4일_6시
-4.740880503144655,0.0,-4,7,-4일_7시
-4.596855345911949,0.0,-4,8,-4일_8시
-3.271698113207547,0.0,-4,9,-4일_9시
-1.0886792452830194,0.003144654088050314,-4,10,-4일_10시
0.3600628930817609,0.006289308176100628,-4,11,-4일_11시
1.3405660377358488,0.0,-4,12,-4일_12시
2.1179245283018866,0.0,-4,13,-4일_13시
2.6691823899371054,0.0,-4,14,-4일_14시
2.9506289308176106,0.0,-4,15,-4일_15시
2.674528301886793,0.0,-4,16,-4일_16시
1.7864779874213834,0.0,-4,17,-4일_17시
0.5647798742138365,0.006289308176100628,-4,18,-4일_18시
-0.3185534591194968,0.025157232704402514,-4,19,-4일_19시
-0.9182389937106915,0.003144654088050314,-4,20,-4일_20시
-1.2377358490566044,0.003144654088050314,-4,21,-4일_21시
-1.571069182389937,0.0,-4,22,-4일_22시
-1.842767295597484,0.0,-4,23,-4일_23시
-2.1132075471698113,0.0,-3,0,-3일_0시
-2.3078616352201258,0.0,-3,1,-3일_1시
-2.532075471698113,0.0,-3,2,-3일_2시
-2.7493710691823905,0.0,-3,3,-3일_3시
-2.9512578616352205,0.0,-3,4,-3일_4시
