년도,월,지역,차량통행속도
17,5,동작구,27.3
17,6,동작구,26.7
17,7,동작구,26.1
17,8,동작구,26.2
17,9,동작구,25.3
17,10,동작구,27.1
17,11,동작구,25.5
17,12,동작구,26.1
17,1,관악구,23.3
17,2,관악구,23.1
17,3,관악구,23.5
17,4,관악구,25.9
17,5,관악구,26.1
17,6,관악구,25.7
17,7,관악구,24.9
17,8,관악구,25.2
17,9,관악구,24.5
17,10,관악구,25.9
17,11,관악구,24.7
17,12,관악구,25
17,1,서초구,27.4
17,2,서초구,26.4
17,3,서초구,27.5
17,4,서초구,27.4
17,5,서초구,28.3
17,6,서초구,27.1
17,7,서초구,26.3
17,8,서초구,26
17,9,서초구,24.9
17,10,서초구,28
17,11,서초구,25.4
17,12,서초구,26.2
17,1,강남구,25.5
17,2,강남구,24.8
17,3,강남구,25.7
17,4,강남구,25.4
17,5,강남구,25.8
17,6,강남구,24.8
17,7,강남구,23.9
17,8,강남구,24.1
17,9,강남구,23.6
17,10,강남구,26.4
17,11,강남구,23.7
17,12,강남구,24.2
17,1,송파구,24.7
17,2,송파구,24.8
17,3,송파구,25.1
17,4,송파구,24.6
17,5,송파구,24.8
17,6,송파구,24.5
17,7,송파구,24
17,8,송파구,24.1
17,9,송파구,23.6
17,10,송파구,25
17,11,송파구,23.8
17,12,송파구,23.7
17,1,강동구,24.8
17,2,강동구,24.9
17,3,강동구,24.9
17,4,강동구,24.6
17,5,강동구,24.5
17,6,강동구,24.3
17,7,강동구,23.9
17,8,강동구,24.1
17,9,강동구,23.7
17,10,강동구,24.6
17,11,강동구,23.9
17,12,강동구,23.8
18,1,종로구,23.1
18,2,종로구,22.9
18,3,종로구,22.6
18,4,종로구,22.1
18,5,종로구,22.2
18,6,종로구,22.7
18,7,종로구,22.7
18,8,종로구,22.6
18,9,종로구,22.3
18,10,종로구,22
18,11,종로구,22.1
18,12,종로구,22.7
18,1,중구,20.2
18,2,중구,20.1
18,3,중구,19.5
18,4,중구,19.2
18,5,중구,19.2
18,6,중구,19.4
18,7,중구,19.6
18,8,중구,19.7
18,9,중구,19.5
18,10,중구,19
18,11,중구,18.9
18,12,중구,19.2
18,1,용산구,27.6
18,2,용산구,26.9
18,3,용산구,27.1
18,4,용산구,26.6
18,5,용산구,26.6
18,6,용산구,26.5
18,7,용산구,26.1
18,8,용산구,26.2
18,9,용산구,26.5
18,10,용산구,26.4
18,11,용산구,26.1
18,12,용산구,26.3
18,1,성동구,25.8
18,2,성동구,25.1
18,3,성동구,25.2
18,4,성동구,25
18,5,성동구,24.9
